"offset","source","target","note"
"0xc271c","The enemy","敵軍",""
"0xc272a","'s attack failed.","的攻擊失敗了。","接於名詞後"
"0xc273c"," retreated from the battle."," 自戰場撤退了。","保留行首空格"
"0xc2758","The enemy","敵軍",""
"0xc2766","%s land forces were wiped out.","%s地面部隊全滅。",""
"0xc2785","The enemy","敵軍",""
"0xc2793","%s base was destroyed.","%s基地已被摧毀。",""
"0xc27ab","%s's orders","%s的命令",""
"0xc27dc","   CHARGE   ","   突擊   ","保留置中空白"
"0xc285c","   All Sunk","   全數擊沉","保留前導空白"
"0xc2868","%d ship%s","%d艘%s","ship%s"
"0xc2872","   (Sunk %d)","   (擊沉%d)",""
"0xc2880","B1%2d Transport %-8s%-8s","B1%2d 運輸船 %-8s%-8s","保留 B1 控制碼"
"0xc289a","B1%2d %d unit%-14s Landed","B1%2d %d 部隊 %-14s 登陸","保留 B1;unit→部隊,Landed→登陸"
"0xc28e4","B1%2d %-16s","","B1+純格式符,無文字,留空"
"0xc28f0","   Wiped out","   全滅",""
"0xc28fd","%3d(Lost %3d)","%3d(損失%3d)","Lost"
"0xc290f","Escorts","護衛艦",""
"0xc2918","B1%d %-16s","","B1+純格式符,留空"
"0xc2923","Wiped out","全滅",""
"0xc292d","%3d(Lost %3d)","%3d(損失%3d)",""
"0xc2968","B1%d %-16s","","B1+純格式符,留空"
"0xc2973","Wiped out","全滅",""
"0xc297d","%3d(Lost %3d)","%3d(損失%3d)",""
"0xc2a12","was bombed!","遭轟炸！",""
"0xc2a29","a rocket!","火箭彈！","a rocket!"
"0xc2a46","minimal damage.","受損極輕微。","minimal damage"
"0xc2a60","slight damage.","受損輕微。","slight damage"
"0xc2a79","serious damage.","受損嚴重。","serious damage"
"0xc2ab2","down to %d.","降至%d。","down to %d"
"0xc2ada","were","","單字 were 文法片段,無法獨立翻譯,留空"
"0xc2aec","%s destroyed.","%s被摧毀。",""
"0xc2b05","was wiped out.","已全滅。",""
"0xc2b24","now at %d.","現為%d。",""
"0xc2b3f","now at %d.","現為%d。",""
"0xc2b4a","was bombed!","遭轟炸！",""
"0xc2b63","torpedo!","魚雷！",""
"0xc2b6c","was hit by fire!","遭炮火擊中！","hit by fire"
"0xc2ba1","%d torpedo%s.","%d枚魚雷%s。",""
"0xc2bb6","%d bomb%s.","%d炸彈%s。",""
"0xc2bc2","Wiped out.","全滅。",""
"0xc2bce","%d ship%s left.","剩餘%d艘%s。","ship%s left"
"0xc2bf0","damaged.","受損。",""
"0xc2c09","damaged.","受損。",""
"0xc2c24","was damaged.","已受損。",""
"0xc2c42","in the hull!","命中艦體！","in the hull"
"0xc2c6b","charges!","爆雷！","depth charges"
"0xc2c7f","torpedoes!","魚雷！",""
"0xc2c8a","was bombed!","遭轟炸！",""
"0xc2c97","Armor %s","裝甲%s","Armor"
"0xc2ca0","starboard","右舷",""
"0xc2caa","port","左舷",""
"0xc2cc8","bombed.","被炸。","bombed."
"0xc2ce2","knocked out!","被摧毀！","knocked out"
"0xc2cff","bombed.","被炸。",""
"0xc2d13","destroyed.","被摧毀。",""
"0xc2d2e","flooded.","進水。","flooded"
"0xc2d49","damaged.","受損。",""
"0xc2d73","damaged.","受損。",""
"0xc2d87","damaged.","受損。",""
"0xc2d9b","destroyed.","被摧毀。",""
"0xc2db5","guns damaged.","火砲受損。",""
"0xc2dd2","guns destroyed.","火砲被毀。",""
"0xc2dfb","torpedo%s.","魚雷%s。",""
"0xc2e10","bomb%s.","彈%s。","bomb%s.,7 bytes 放不下「炸彈」"
"0xc2e26","the %s.","%s。","the %s."
"0xc2e4f","fire.","起火","fire.,5 bytes 放不下「起火。」"
"0xc2e92","No regret in my life!","吾生無悔！","臨終遺言"
"0xc2ea8","Farewell, my beloved country.","祖國啊，永別了。",""
"0xc2ec6","Make me proud!","為我爭光！",""
"0xc2ed5","Banzai, Japan!","日本萬歲！",""
"0xc2ee4","Bless America!","天佑美國！",""
"0xc2f04","Sank!","擊沉","Sank!,5 bytes 放不下「擊沉！」"
"0xc2f0b","Sunk in battle!","戰沉！","Sunk in battle"
"0xc2f1c","was defeated.","戰敗了。",""
"0xc2f2b","Destroyed the enemy!","殲滅敵軍！",""
"0xc2f48","%s Class","%s級",""
"0xc2f57","%s %s Cl.","%s %s級",""
"0xc2f62","%s Transport","%s運輸船",""
"0xc2f6f","%s Transport %d","%s運輸船%d",""
"0xc2f89","landed!","登陸！",""
"0xc2f98","killed in action.","陣亡了。",""
"0xc2faa","Select a target position.","請選擇目標位置。",""
"0xc2fc4","Retreating from battle.","自戰場撤退中。",""
"0xc2fdc"," MAIN GUN"," 主砲","MAIN GUN"
"0xc2fe6"," ROCKET"," 火箭","ROCKET"
"0xc2fee"," CANCEL"," 取消","CANCEL"
"0xc3008","Select a target to attack.","請選擇攻擊目標。",""
"0xc3023","Select a target position.","請選擇目標位置。",""
"0xc303d"," SUB. DELG. "," 潛艇委任 ","SUB. DELG.,保留前後空白"
"0xc304a"," FLEET DELG."," 艦隊委任 ","FLEET DELG."
"0xc3057","  L.F. DELG.","  陸軍委任","L.F. DELG.=陸上部隊委任"
"0xc3064","  A.F. DELG.","  航空委任","A.F. DELG.=航空部隊委任"
"0xc3071","    ENTER   ","    確定   ","保留置中空白"
"0xc3092","Direct Control","直接指揮",""
"0xc30a1","Attack Carrier","攻擊航空母艦",""
"0xc30b0","Attack Battleship","攻擊戰艦",""
"0xc30c2","Attack Cruiser","攻擊巡洋艦",""
"0xc30d1","Attack Destroyer","攻擊驅逐艦",""
"0xc30e2","Attack Submarine","攻擊潛艇",""
"0xc30f3","Attack Transport","攻擊運輸船",""
"0xc3104","Attack Land Force","攻擊陸上部隊","Land Force"
"0xc3116","Attack Storage","攻擊倉庫","Storage"
"0xc3125","Attack Factory","攻擊工廠",""
"0xc3134","Attack Airfield","攻擊機場",""
"0xc3144","Land","降落","航空隊降落"
"0xc3149","Rest","休整",""
"0xc314e","Retreat","撤退",""
"0xc3156","Retreat","撤退",""
"0xc315e","Delegate","委任",""
"0xc317b"," Information"," 情報","Information"
"0xc31a7","Bomb","炸彈",""
"0xc31ac","Torp","魚雷","Torp"
"0xc3216"," EXECUTE "," 執行 ",""
"0xc3220","STEER","轉向","STEER"
"0xc3226","MOVE ","移動 ","MOVE ,保留尾隨空白"
"0xc322c","ATTK ","攻擊 ","ATTK ,保留尾隨空白"
"0xc3232"," EXECUTE "," 執行 ",""
"0xc323c","PORT","左舷","PORT"
"0xc3241","STAR","右舷","STAR"
"0xc3246","LAND","降落","LAND"
"0xc324b","BOMB","轟炸","BOMB"
"0xc3250","ATTK ","攻擊 ",""
"0xc32d6","ATTK","攻擊",""
"0xc32db","WAIT","待命","WAIT"
"0xc32e7"," Base AF"," 基地","Base AF,8 bytes 放不下「基地機場」"
"0xc3300","%12s","","純格式符 %12s,不譯"
"0xc336d","read open err:","讀取開啟錯誤：","錯誤訊息"
"0xc3380","Imperial Headquarters","大本營","Imperial Headquarters"
"0xc3396","Operation Headquarters","作戰司令部","Operation Headquarters"
"0xc33ad","completed their mission.","已完成任務。",""
"0xc33e6","confront opposition.","迎擊敵軍。","confront opposition"
"0xc33fb","Pacific fleet.","太平洋艦隊。",""
"0xc340a","mount a counterattack.","發動反攻。",""
"0xc3421","plea for peace.","呼籲和平。",""
"0xc3441","against the Japanese forces.","對抗日軍。",""
"0xc345e","is the invasion of Japan.","進攻日本本土。","invasion of Japan"
"0xc3492","A single battleship moves ","一艘戰艦緩緩移動， ","結局敘事,保留尾隨空白"
"0xc34ad","slowly through the waves as ","穿過波浪，彷彿帶領著 ",""
"0xc34ca","if leading the sad souls of ","散落在太平洋上的 ",""
"0xc34e7","heroes scattered over the ","英雄悲傷的靈魂， ",""
"0xc3502","Pacific to their final ","前往最後的 ",""
"0xc351a","resting place. ","安息之地。 ",""
"0xc352a","Someday, the smell of ","總有一天， ",""
"0xc3541","blastpowder burned into the ","烙印在鋼鐵船體上的 ",""
"0xc355e","steel hull will fade away, ","硝煙氣味終將散去， ",""
"0xc357a","but for now the men slowly ","但此刻人們仍緩緩地 ",""
"0xc3596","inhale it along with the ","將它與帶著鹹味的 ",""
"0xc35b0","pleasant smell of the salty ","海風氣息一同吸入 ",""
"0xc35cd","brine. ","肺中。 ",""
"0xc35d5","Far off on the horizon, ","在遙遠的地平線上， ",""
"0xc35ee","the rising sun welcomes them ","旭日東升，迎接他們",""
"0xc360c","to a new day with arms of ","以萬丈光芒之臂",""
"0xc3627","outstretched rays. ","迎接嶄新的一天。",""
"0xc363b","They have left behind ","他們已拋下",""
"0xc3652","uncertainty and fear, and ","迷惘與恐懼，",""
"0xc366d","soak up the warm sunlight ","沐浴在溫暖陽光",""
"0xc3688","reflected in the waves. ","與波光的輝映中。",""
"0xc36a1","Their hearts are now ","如今他們的心",""
"0xc36b7","unburdened, and every breath ","已卸下重擔，每一息",""
"0xc36d5","they take is filled with ","都充滿著",""
"0xc36ef","hope. Promises of peace on ","希望。人人皆言",""
"0xc370b","every tongue; the war is ","和平將至，戰爭",""
"0xc3725","over. ","結束。","byte 限制極短"
"0xc372c","Friends, your life, your ","朋友們，你們的生命",""
"0xc3746","sacrifice, will not go to ","與犧牲，絕不會",""
"0xc3761","waste. ","白費。",""
"0xc3769","Dear friends, I will ","摯友們，我將",""
"0xc377f","protect your memories, your ","守護你們的記憶、",""
"0xc379c","courage and hope. ","勇氣與希望。",""
"0xc37af","May this be my vow. May ","以此為誓。",""
"0xc37c8","the sun burning bright on ","願地平線上",""
"0xc37e3","the horizon serve as my ","燦爛朝日",""
"0xc37fc","witness. ","作見證。",""
"0xc3806","For those of us who ","這是倖存者",""
"0xc381b","survived, it is the least we ","應盡的微薄",""
"0xc3839","can do.","心意。",""
"0xc3841","A single battleship steers ","一艘戰艦駛過",""
"0xc385d","its way through the ocean ","茫茫大海，",""
"0xc3878","waters. It's helm tears the ","艦首劈開波浪，",""
"0xc3895","waves, leaving a trail of ","留下一道",""
"0xc38b0","white froth to mark its ","白色航跡，",""
"0xc38c9","passage. ","於身後。",""
"0xc38d3","Beyond these rough waters ","越過這片驚濤，",""
"0xc38ee","waits the calm shores of ","便是故鄉",""
"0xc3908","home. Long assaulted by ","平靜的海岸。久受",""
"0xc3921","barked orders and cannon ","號令與炮聲",""
"0xc393b","blasts, their ears bless the ","摧殘的雙耳，",""
"0xc3959","gentle sounds of waves that ","唯有輕撫船身的",""
"0xc3976","caress the hull. ","浪聲可貴。",""
"0xc3988","The morning sun on the far ","遠方地平線的",""
"0xc39a4","horizon, brings the ","朝陽，宣告",""
"0xc39b9","announcement that another ","新的一天",""
"0xc39d4","day has begun. They have ","已然開始。他們",""
"0xc39ee","left behind uncertainty and ","已拋下迷惘與",""
"0xc3a0b","fear, and soak up the warm ","恐懼，沐浴在",""
"0xc3a27","sunlight reflected in the ","波光照耀的",""
"0xc3a42","waves. Their hearts, now ","暖陽之中，",""
"0xc3a5c","unburdened, are filled with ","心中卸下重擔，",""
"0xc3a79","hope and they thank nature ","滿懷希望，感謝",""
"0xc3a95","for every salty breath she ","大海賜予的每一口",""
"0xc3ab1","brings. Promises of peace on ","鹹澀氣息。人人",""
"0xc3acf","every tongue; the war is ","皆言和平，戰爭",""
"0xc3ae9","over. ","結束。","byte 限制極短"
"0xc3af0","Friends, the days we ","朋友們，並肩",""
"0xc3b06","fought together, will always ","作戰的日子，將永遠",""
"0xc3b24","be a part of me. ","與我同在。",""
"0xc3b36","Dear friends, it finally ","摯友們，你們",""
"0xc3b50","came, this peace you so ","殷切祈盼的和平",""
"0xc3b69","prayed for... ","終於來臨……",""
"0xc3b78","The sun now rising as my ","以升起的朝日",""
"0xc3b92","witness, I will preserve it. ","為證，我必守護到底。",""
"0xc3bb0","For those of us who ","這是倖存者",""
"0xc3bc5","survived, it is the least we ","應盡的微薄",""
"0xc3be3","can do. ","心意。",""
"0xc3c4c","Carrier","航母","glossary 航空母艦 超長，縮譯"
"0xc3c54","Light Carrier","輕型航母",""
"0xc3c62","Dreadnought","無畏艦",""
"0xc3c6e","Battleship","戰艦",""
"0xc3c79","Heavy Cruiser","重巡洋艦",""
"0xc3c87","Light Cruiser","輕巡洋艦",""
"0xc3c95","Destroyer","驅逐艦",""
"0xc3cc0","B0%4s Fleet","B0%4s艦隊","保留控制碼 B0"
"0xc3cd0","B1%4s Fleet Commander","B1%4s艦隊司令","保留控制碼 B1"
"0xc3cea","B1%s","B1%s","無文字，保留"
"0xc3cf3","B0Commander %-12s","B0司令%-12s",""
"0xc3d09","B1%s %-12s","B1%s %-12s","無文字，保留"
"0xc3d18","B0Allied Fleet","B0盟軍艦隊",""
"0xc3d2b","B0Pacific Fleet","B0太平洋艦隊",""
"0xc3d48","Japan","日本",""
"0xc3d4e","The U.S.A.","美國",""
"0xc3d5a","END_NAMI.TK2","","檔名不譯"
"0xc3d68","PEND.TK2","","檔名不譯"
"0xc3d72","SSEND.TK2","","檔名不譯"
"0xc3d7c","END3_3D.TK2","","檔名不譯"
"0xc3d88","END4.TK2","","檔名不譯"
"0xc3d92","END_SF.TK2","","檔名不譯"
"0xc3d9e","OP4_BC.TK2","","檔名不譯"
"0xc3daa","Japan","日本",""
"0xc3db0","U.S.A.","美國",""
"0xc3dee","Chief of Naval Staff","海軍軍令部長",""
"0xc3e03","Captain of ""Prince of Wales""","威爾斯親王號艦長",""
"0xc3e20","Tom Phillips","菲利普斯",""
"0xc3e2d","Tomoyuki Yamashita","山下奉文",""
"0xc3e40","A.E. Percival","白思華",""
"0xc3e4e","J.V.Stalin","史達林",""
"0xc3e59","J.V. Stalin","史達林",""
"0xc3e65","F.D. Roosevelt","羅斯福",""
"0xc3e74","W.S. Churchill","邱吉爾",""
"0xc3e83","D. MacArthur","麥克阿瑟",""
"0xc3e90","D. MacArthur","麥克阿瑟",""
"0xc3e9d","Tamon Yamaguchi","山口多聞",""
"0xc3ead","Captain of Hiryu : Kaku Tomeo","飛龍號艦長：加來止男",""
"0xc3ecb","Occupy ","佔領 ","保留尾隨空白"
"0xc3ed3","Defend ","防禦 ","保留尾隨空白"
"0xc3edb","Destroy","殲滅",""
"0xc3ef0","Enemy's goal","敵方目標",""
"0xc3f03","Both","雙方",""
"0xc3f1f","A. Hitler","希特勒",""
"0xc3f29","A. Hitler","希特勒",""
"0xc3f33","Ho Chi Minh","胡志明",""
"0xc3f3f","President M.L. Keson","凱松總統","M.L. Keson 音譯"
"0xc3f54","base","基地",""
"0xc3f59","post","據點",""
"0xc3fbc","peace treaty","和平條約",""
"0xc3fc9","military pact","軍事同盟",""
"0xc3fd7","aid pact","援助協定",""
"0xc3ff0","%s has declared war on %s.","%s對%s宣戰。",""
"0xc400b","military","軍事",""
"0xc402b","M4%s","M4%s","控制碼保留"
"0xc4045","M4%s","M4%s","控制碼保留"
"0xc404a","%s Class %s","%s級%s",""
"0xc408a","Army High Command","陸軍大本營",""
"0xc409c","Chief of Operations","作戰部長",""
"0xc40d2","R%c%s","R%c%s","控制碼保留"
"0xc40e3","M4%s","M4%s","控制碼保留"
"0xc40f2","Army High Command","陸軍大本營",""
"0xc4104","Operations HQ","作戰本部",""
"0xc4119","R%c%s","R%c%s","控制碼保留"
"0xc4120","B1GNP      :%6d","B1GNP      :%6d","GNP 通用，保留排版"
"0xc4131","B1Bases    :%6d (Navy%3d)","B1基地:%6d(海%3d)","配合下行 (陸%3d) 精簡"
"0xc414b","(Army%3d)","(陸%3d)","byte 限制，陸軍簡作陸"
"0xc4156","B1Budget   :%6d","B1預算:%6d",""
"0xc4167","B1Materials:%6d","B1物資:%6d",""
"0xc4189","harbor","港灣",""
"0xc4190","dock","船塢",""
"0xc4195","airfield","機場",""
"0xc41a9","|Staff","|幕僚","保留 |"
"0xc41b0","Operations","作戰",""
"0xc41c2","R%c%s","R%c%s","控制碼保留"
"0xc41df","ver_c_sute_card","","技術字串不譯"
"0xc4200","C0%5d+%5d","C0%5d+%5d","控制碼保留"
"0xc420b","C0 (%2d)%6d","C0 (%2d)%6d","控制碼保留"
"0xc4217","Navy","海軍",""
"0xc421c","Army","陸軍",""
"0xc4221","Domestic","內政",""
"0xc422a","Assign materials.","配屬物資。",""
"0xc4253","T( View which?","T( 看哪項？","T( 疑為控制碼，保留"
"0xc4262"," PROPOSALS  ","  提案  ","置中留白"
"0xc426f"," DECISIONS  ","  決定  ","置中留白"
"0xc427c","   CANCEL   ","   取消   ","置中留白"
"0xc42a4","What will you do?","你要如何行動？",""
"0xc42ba","throw away","捨棄",""
"0xc42c5","Which card will you %s?","要%s哪張卡片？",""
"0xc42dd","Will you skip this topic?","要跳過此議題嗎？",""
"0xc4311","{Whom will you try to persuade?","{要說服誰？","保留 {"
"0xc4332","Plan","企劃",""
"0xc4337","Unify","統一",""
"0xc433d","Direct","指示",""
"0xc4344","Refuse","拒絕",""
"0xc434b","Silent","沉默",""
"0xc4352","Pass","通過",""
"0xc4357","Reverse","反轉",""
"0xc435f","Ignore","無視",""
"0xc4366","Extend","延長",""
"0xc436d","Agree","同意",""
"0xc4373","Plead","懇請",""
"0xc4379","Imperial HQ Conference","大本營會議",""
"0xc4390","National Security Conference","國家安全會議",""
"0xc43b6","Foreign","外交",""
"0xc43be","Op.Goals","作戰目標",""
"0xc43c7","Budget","預算",""
"0xc43ce","Materials","物資",""
"0xc43d8","Draft","徵兵",""
"0xc43de","Armaments","武裝",""
"0xc43e8","Bases","基地",""
"0xc440a","Foreign Affairs","外交事務",""
"0xc441a","Operation Goals","作戰目標",""
"0xc442a","Budget","預算",""
"0xc4431","Materials","物資",""
"0xc443b","Draft","徵兵",""
"0xc4441","Armaments","武裝",""
"0xc444b","Base Upkeep","基地維持",""
"0xc4498","Dcl. War","宣戰",""
"0xc44a1","Req. War","請求參戰",""
"0xc44aa","Mil.Pact","軍事同盟",""
"0xc44b3","Break Mil","撕毀同盟",""
"0xc44c1","Break Aid","撕毀援助",""
"0xc44cb","Peace","和平",""
"0xc44d1","Negotiate","交涉",""
"0xc44db","Declare War","宣戰",""
"0xc44e7","Request War Part.","請求共同參戰",""
"0xc44f9","Military Pact","軍事同盟",""
"0xc4507","Break Mil. Pact","撕毀軍事同盟",""
"0xc4517","Aid Pact","援助協定",""
"0xc4520","Break Aid Pact","撕毀援助協定",""
"0xc452f","Peace Treaty","和平條約",""
"0xc453c","Negotiations","談判",""
"0xc4549","Occupy","佔領",""
"0xc4550","Defend","防衛",""
"0xc4557","Destroy","摧毀",""
"0xc4560","I!f!P!j!W!Z Navy","I!f!P!j!W!Z 海軍",""
"0xc4571","Army","陸軍",""
"0xc4576","Both","雙方",""
"0xc4583","!v!b!Prime Minister","!v!b!首相",""
"0xc4597","Chief of Naval Staff","海軍軍令部長",""
"0xc45ac","Chief of Staff","參謀總長",""
"0xc45bb","Finance Minister","大藏大臣",""
"0xc45cc","Foreign Minister","外務大臣",""
"0xc45dd","President","總統",""
"0xc45e7","Chief of Naval Op.","海軍作戰部長",""
"0xc45fa","Chief of Staff","參謀總長",""
"0xc4609","Sec. of Treasury","財政部長",""
"0xc461a","Secretary of State","國務卿",""
"0xc462d","Prime Minister","首相",""
"0xc463c","Chf.of Nvl.Stf.","軍令部長",""
"0xc464c","Chief of Staff","參謀總長",""
"0xc465b","Finance Min.","大藏大臣",""
"0xc4668","Foreign Min.","外務大臣",""
"0xc4675","President","總統",""
"0xc467f","Chf.of Nvl.Op.","作戰部長",""
"0xc468e","Chief of Staff","參謀總長",""
"0xc469d","Sec.of Treasury","財政部長",""
"0xc46ad","Sec.of State","國務卿",""
"0xc46f1","B0 %-4s%4d","",""
"0xc475c","read_man","",""
"0xc476c","B0%s","",""
"0xc4778","B7%s","",""
"0xc477e","O,O8O/O5O2O;OGO>ODOA","",""
"0xc47ce","Diet","國會",""
"0xc47d3","Congress","國會",""
"0xc47f2","C4%-9s","",""
"0xc482e","Navy      ","海軍      ",""
"0xc4839","Army      ","陸軍      ",""
"0xc4844","Foreign   ","外交      ",""
"0xc484f","Bases     ","基地      ",""
"0xc485a","Technology","技術      ",""
"0xc4865","Government","政府      ",""
"0xc4875","Navy     ","海軍     ",""
"0xc487f","Army     ","陸軍     ",""
"0xc4889","Domestic ","內政     ",""
"0xc48b8","C0%6d","",""
"0xc48fb","C4%-9s","",""
"0xc4935","No debate.","無人發言",""
"0xc4940","Navy      ","海軍      ",""
"0xc494b","Army      ","陸軍      ",""
"0xc4956","Foreign   ","外交      ",""
"0xc4961","Bases     ","基地      ",""
"0xc496c","Technology","技術      ",""
"0xc4977","Government","政府      ",""
"0xc4986","No debate.","無人發言",""
"0xc4996","Navy     ","海軍     ",""
"0xc49a0","Army     ","陸軍     ",""
"0xc49aa","Domestic ","內政     ",""
"0xc49d4","C0%6d","",""
"0xc49de","No debate.","無人發言",""
"0xc4a36"," INFO "," 情報 ",""
"0xc4a3d"," ENTER "," 確定  ",""
"0xc4a45","Do Nothing","不採取行動",""
"0xc4a6f","%-3s   %-18s -----","",""
"0xc4a82","%-3s   %-18s %2d/%2d","",""
"0xc4a97","Current situation","目前情勢",""
"0xc4aa9","Select a date.","請選擇日期",""
"0xc4ab8","(On or after the %s)","(%s當日或以後)",""
"0xc4aed","C0%2d+%2d","",""
"0xc4af8","C0%5d","",""
"0xc4b03","C0%2d+%-2s%2d","",""
"0xc4b11","Navy","海軍",""
"0xc4b16","Army","陸軍",""
"0xc4b1f","Navy","海軍",""
"0xc4b24","Army","陸軍",""
"0xc4b29","Europe","歐洲",""
"0xc4b34","Station your forces.","請配置部隊",""
"0xc4b4f"," CONFIRM ","  確認  ",""
"0xc4b60","C7%d. %-21s","",""
"0xc4b6c","%d card%s","%d張%s",""
"0xc4c57","C4%4s","",""
"0xc4c64"," SPACE"," 空白",""
"0xc4c6b","BACKSP","倒退",""
"0xc4c72"," ENTER"," 確定",""
"0xc4c79","CANCEL","取消",""
"0xc4c94","B>Select a character.","B>請選擇人物",""
"0xc4cb2","C4%s","",""
"0xc4cc6","get_tantou","",""
"0xc4cd1","put_card","",""
"0xc4cda","card_init","",""
"0xc4ce4","use_haicard","",""
"0xc4cfc","narabekae","",""
"0xc4d14","C1%s","",""
"0xc4d1c","the %s's","%s的",""
"0xc4d28","The %s's","%s的",""
"0xc4d32","no_tasuuketsu","",""
"0xc4d40","No one.","沒有人",""
"0xc4d48","Only one person?","只有一人嗎?",""
"0xc4d59","1, 2 people.","一、二人",""
"0xc4d66","1, 2, 3 people.","一至三人",""
"0xc4d76","1, 2, 3...4 people?","一至四人?",""
"0xc4d9d","(All in favor of %s proposal?","(贊成%s提案者?",""
"0xc4dd1","{%s was set as follows.","{%s設定如下。",""
"0xc4dfd",")Well...",")那麼…",""
"0xc4e06","Diet","國會",""
"0xc4e0b","Congress","國會",""
"0xc4e14","Diet","國會",""
"0xc4e19","Congress","國會",""
"0xc4e35",")Imperial HQ",")大本營",""
"0xc4e42","War Dept.","陸軍省",""
"0xc4e53","M4%-12s","",""
"0xc4e5b","%2d/%2d/%4d","",""
"0xc4e72","government spending","政府預算",""
"0xc4e86","domestic materials","內政物資",""
"0xc4e9a","army draftees","陸軍兵員",""
"0xc4ea8","naval spending","海軍預算",""
"0xc4eb7","army spending","陸軍預算",""
"0xc4ec5","foreign spending","外交預算",""
"0xc4ed6","navy materials","海軍物資",""
"0xc4ee5","army materials","陸軍物資",""
"0xc4ef4","navy draftees","海軍兵員",""
"0xc4f10","how about it?","意下如何?",""
"0xc4f1e","what do you think?","您認為如何?",""
"0xc4f32","please.","拜託了",""
"0xc4f56",", what do you think?",",您認為如何?",""
"0xc4f6c","'s opinion on this matter.","對此案的意見",""
"0xc4f88","I'd like to hear the ","我想聽聽 ",""
"0xc4fa4","(cough-cough)","(咳咳)",""
"0xc4fb2","Wait a minute!","且慢!",""
"0xc4fc2","Just a moment.","請稍候",""
"0xc4fd2","Wait a minute!","且慢!",""
"0xc4fe2","Just a moment.","請稍候",""
"0xc4ff6","Sir, do","閣下,",""
"0xc4ffe","Navy","海軍",""
"0xc5003","Army","陸軍",""
"0xc500a","I agree with the %s.","我贊成%s的意見",""
"0xc5020","You must be joking.","您在開玩笑吧",""
"0xc5034","I'm sorry, but","很抱歉,",""
"0xc5044","It cannot be helped...","實在沒辦法…",""
"0xc505c","Diet","國會",""
"0xc5062","Congress","國會",""
"0xc506c","You're asking me?","您在問我嗎?",""
"0xc507e","I need more time to review.","我需要更多時間審議",""
"0xc509a","Again?","又來?",""
"0xc50a2","Me again?","又是我?",""
"0xc50b4","set_sakusen_an","",""
"0xc50c8","%-12s%-8s%-4s","",""
"0xc50ef","   Base    Mission Force","   基地    任務 部隊",""
"0xc5168"," Mission"," 任務",""
"0xc5171"," OCCUPY"," 佔領",""
"0xc5179"," DESTROY"," 摧毀",""
"0xc5192"," Force"," 部隊",""
"0xc5199"," NAVY"," 海軍",""
"0xc519f"," ARMY"," 陸軍",""
"0xc51a5"," BOTH"," 雙方",""
"0xc51c7","B1 %-12s","",""
"0xc51d7","B1  Name List ","B1  名單  ",""
"0xc51e6","You cannot use this name.","無法使用此名稱",""
"0xc5207","B1 %-12s","",""
"0xc5217","B1Sub. Name List","B1候補名單",""
"0xc522f","B1 Class Name List","B1 艦級名單",""
"0xc5249","B1 Class Name List","B1 艦級名單",""
"0xc525c","How about the Army?","陸軍的意見呢?",""
